est_number,company,street,city,st,zip,phone,grant_date,activities,dbas
M5622+P5622+V5622,Albion Locker,129 W. Church Street,Albion,NE,68620,(402) 395-2619,2005-08-02,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat",
M44941+P44941,"Alcor Foods, Inc.",Ave. Hostos WF-8 Santa Juanita,Bayamon,PR,956,(787) 718-9449,2016-06-20,"Meat Processing, Poultry Processing",
M1330+P1330,"Alderfer, LLC",382 Main Street,Harleysville,PA,19438,(215) 723-4606,2016-08-31,"Meat Processing, Poultry Processing","ALL Holding Company, LLC"
M8429+P8429,Aldon Food Corporation,4461 Township Line Road,Schwenksville,PA,19473,(484) 991-1000,2006-01-19,"Meat Processing, Poultry Processing",Don's Food Products; Don's Salads
M45093+P45093,AleCon Enterprises Inc.,31 Pulpit Rock Road Unit B,Pelham,NH,3076,(603) 635-0819,2016-05-12,"Meat Processing, Poultry Processing",
M21174+P21174,Alef Sausage,1026 Campus Rd.,Mundelein,IL,60060,(847) 566-0008,2005-09-09,"Meat Processing, Poultry Processing",
M21701+P21701,Alena Foods,120 Fulton Street,Fresno,CA,93721,(559) 322-1760,2002-01-31,"Meat Processing, Poultry Processing",
M5766+P5766+V5766,Alewel's Country Meats,911 North Simpson,Warrensburg,MO,64093,(660) 747-8261,1995-06-19,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",Alewel's Country Meats; Alewels Country Meats; Grandpa A's Country Meats; Grandpa Alewel's Country Meats
M4553+P4553,"Alex & George Wholesale Meats, Inc.",2 Rockwood Street - Suite 100,Rochester,NY,14610,(585) 323-2020,2011-03-30,"Meat Processing, Poultry Processing",A & G
M9369+P9369,Alex Froehlich Packing Company,77 D Street,Johnstown,PA,15906,(814) 535-7694,1999-06-23,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",
M34826+P34826,Alex's Deli,4951W. Diversey Ave,Chicago,IL,60639,(773) 237-2919,2016-10-24,"Meat Processing, Poultry Processing",
M19566+P19566,Alex's Meat & Provision,5600 1st Ave Unit B16,Brooklyn,NY,11215,(718) 238-8800,2007-07-17,"Meat Processing, Poultry Processing",
M10125+P10125+V10125,Alexander & Hornung,20643 Stephens Street,St Clair Shores,MI,48080,(586) 771-9880,2011-04-15,"Certification - Export, Meat Processing, Poultry Processing",Alexander & Hornung; Brookside Foods; Butcher Boy Meats
M6593,Alexander's Ham Co.,Hwy 152 West,Landis,NC,28088,(704) 857-9222,1991-11-06,Meat Processing,
M31541+P31541,Alexandra Foods,3304 N. Central Ave.,Chicago,IL,60634,(773) 282-3820,2006-05-15,"Meat Processing, Poultry Processing",
M44823+P44823,Alexis Wholesale Inc.,1529 W. Rosecrans Avenue,Gardena,CA,90249,(310) 538-5020,2015-09-03,"Meat Processing, Poultry Processing",
M8804+P8804,"ALFREDO AIELLO ITALIAN FOODS, INC.",122 WATER STREET,QUINCY,MA,2169,(617) 479-6360,1989-04-27,"Meat Processing, Poultry Processing",ALFREDO AIELLO ITALIAN FOOD MGF. CO.
M21743+P21743,"Alfresco Pasta, LLC",1138th 4th Avenue South,Nashville,TN,37210,(615) 356-7077,2014-03-24,"Meat Processing, Poultry Processing",Alresco Pasta
M11113,Ali International Inc.,1616 S Dean Rd,Orlando,FL,32825,(407) 277-9483,2012-03-27,"Meat Processing, Meat Slaughter",Ali Meat Industries
V45603,All American Cold Storage,259 30th Street Suite 100,Greeley,CO,80631,(855) 392-6578,2015-04-13,"Certification - Export, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
M20420,"All American Meats, Inc.","All American Meats, Inc. 4501 S. 36th Street",Omaha,NE,68107,(402) 734-6901,2000-07-11,Meat Processing,
M44163+P44163,All Foods LLC,"18311 Clay Road, #A4",Houston,TX,77084,(832) 593-7272,2016-07-08,"Meat Processing, Poultry Processing",Raza Foods
M46803+P46803,All People's Food,19 King Court,New Castle,DE,19720,(302) 690-4881,2013-05-29,"Meat Processing, Poultry Processing",Fountains Food
M44122+P44122,Alle-Pia,8396 El Camino Real,Atascadero,CA,93422,(805) 704-1185,2012-11-16,"Meat Processing, Poultry Processing",
M44785+P44785+V44785,"Alleghany Highlands Agricultural Center, LLC",6095 Potomac River Rd.,Monterey,VA,24465,(540) 474-2422,2012-04-03,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Alleghany Meats
M1079+V1079,"Allen Brothers, Inc",3737 S. Halsted St,Chicago,IL,60609,(773) 890-5100,2013-12-26,"Meat Processing, Voluntary Processing - Meat",
P935,"Allen Harim Foods, LLC.",18752 Harbeson Road,Harbeson,DE,19951,(302) 684-1640,2016-03-01,"Poultry Processing, Poultry Slaughter",
M21574+P21574+V21574,Allentown Refrigerated Terminals Inc.,125 Seneca Trail,Boyertown,PA,19512,(610) 367-2174,2001-04-04,"Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V45669,Allied Caribbean Distribution,10992 NW 92 Terrace,Miami,FL,33178,(305) 463-0038,2015-07-28,Certification - Export,
V48185,Allied Frozen Storage inc.,4 Owens Road,Brockport,NY,14420,(585) 637-3166,2016-04-11,Certification - Export,
M9050+P9050,"Allied Poultry Sales Co., Inc.",333 Clay St.,Oakland,CA,94607,(510) 763-6200,1999-01-12,"Meat Processing, Poultry Processing",Allied Pringle Food Sales Co.
M34661+P34661,Allonco Inc.,500 Bird St.,Elgin,IL,60123,(312) 421-2333,2013-01-17,,
V807,"Alma Cold Storage, Inc.",226 Pineview Rd.,Alma,GA,31510,(912) 632-7964,2011-07-20,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
M7000+P7000,"Alma Foods, LLC",110 East 1st Street,Alma,KS,66401,(785) 765-3396,2004-10-19,"Meat Processing, Poultry Processing",Hormel Foods Corporation
M21929+P21929,Almi Inc.,5419 Mascher Street,Philadelphia,PA,19120,(215) 224-2212,2006-12-21,"Meat Processing, Poultry Processing",
M654+P654,Alpha Foods Co.,19802 G.H. Circle,Waller,TX,77484,(936) 372-5858,2012-05-21,"Meat Processing, Poultry Processing",
M21136+P21136,"Alpha Omega Distributors, LTD",417 Atlas Avenue,Madison,WI,53714,(608) 224-1481,2016-07-08,"Meat Processing, Poultry Processing",
M412+P412,Alpine Meats Inc.,9900 Lower Sacramento Road,Stockton,CA,95210,(209) 477-2691,2011-08-02,"Meat Processing, Poultry Processing",Alpine Meats; Martin Pure Foods Corp.Ponoma Ca 91766
M6224,Alpine Sausage Company,1272 West Alaska Place,Denver,CO,80223,(303) 778-0886,1999-02-19,Meat Processing,
M31931+V31931,Alta Vista Locker,303 Lowe Street,Alta Vista,KS,66834,(785) 499-6829,2004-11-05,"Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",Alta Vista Locker
V20663,"Alto Valle Foods, Inc.",301 Raynolds Avenue,El Paso,TX,79905,(915) 534-2586,2003-02-11,"Certification - Export, Identification - Meat, Identification - Poultry",
M2357+P2357,Amana Meat Shop & Smokehouse,4513 F Street,Amana,IA,52203,(319) 622-7580,2008-02-19,"Meat Processing, Poultry Processing",
M11169+P11169,Amaro Foods Enterprise Inc,2180 NW 19th Ave.,Miami,FL,33142,(305) 324-7471,2012-02-26,"Meat Processing, Poultry Processing",
M11204+P11204,Amba Ham Company Inc.,6863 NE 3rd Ave.,Miami,FL,33138,(305) 754-0001,2009-08-28,Meat Processing,
M45761+P45761,AmBar Foods,12434 N. 28th Drive,Phoenix,AZ,85029,(406) 591-0471,,"Meat Processing, Poultry Processing",
M19433+P19433,Ambassador Meat Dist. Inc.,2856 Guinotte,Kansas City,MO,64120,(816) 483-6350,2015-06-09,"Meat Processing, Poultry Processing",Epicurean's Choice Foods; Heartland Fresh Foods
M33789+P33789,"Amboy Group, LLC",1 Amboy Ave,Woodbridge,NJ,7095,(732) 510-5600,2015-03-31,"Meat Processing, Poultry Processing",
M5509,Amend Packing Co.,410 SE 18th street,Des Moines,IA,50317,(515) 265-1618,1991-10-01,"Meat Processing, Meat Slaughter",
M40200+P40200,America New York Ri Wang Food Group,58-85 58th Ave,Maspeth,NY,11378,(718) 628-8999,2013-07-09,"Meat Processing, Poultry Processing",
M31605,America's Best Steak,410 10th Street,Bogue,KS,67625,(785) 421-2011,2004-10-03,Meat Processing,
M45768,America's Catch Inc,46623 County Road 523,Itta Bena,MS,38941,(662) 254-7200,2016-01-11,"Meat Processing, Meat Slaughter",Boja's Foods Inc.; Frosty Acres; Gordon Food Services ; Merchants Food Service; Reinhart Food Service; Shamrock Food Co.; Sysco Corporation ; U S Foods Inc.
V45452,"America's Custom Brokers, Inc.",2150 NW 70th Avenue,Miami,FL,33122,(305) 591-9600,2014-09-12,"Certification - Export, Identification - Meat",
V34796,American Alliance Partners LLC,110 Plugs Drive,Decatur,AL,35601,(256) 301-0028,2008-09-11,"Certification - Export, Food Inspection, Identification - Poultry, Off-Premise Freezing - Poultry",Decatur Cold Storage; Lineage RCS Decatur
M34741,"American Beef Packers, Inc.",13677 Yorba Avenue,Chino,CA,91710,(909) 628-4888,2014-08-18,"Meat Processing, Meat Slaughter",
M40232+P40232,"American Butchers, Inc.",Diana Street Lot #5 Amelia Industrial Park,Guaynabo,PR,968,(787) 774-8802,2011-05-11,"Meat Processing, Poultry Processing",
V45586,"Americold - Ontario, Oregon",589 NE 1st Street,Ontario,OR,97914,(541) 889-6423,2015-03-30,Certification - Export,
M20172+P20172+V20172,"American Butchers, LLC",809 O street,Beaver City,NE,68928,(308) 268-2110,2011-05-31,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",
M3128,American Cold Storage,262 Stoddert Street P. O Box 667,Jackson,TN,38301,(731) 422-7100,2005-11-23,,
V3128,American Cold Storage,262 Stoddert Street,Jackson,TN,38301,(731) 422-7100,2005-11-23,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Poultry",
V3168,American Cold Storage,965 West Mullins Street,Humboldt,TN,38343,(731) 784-7130,2005-11-16,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Poultry",
V3308,American Cold Storage,607 Industry Road,Louisville,KY,40208,(502) 634-4753,2010-09-29,"Certification - Export, Identification - Meat, Identification - Poultry",
M19700+P19700+V19700,American Cold Storage-IN. Div.,888 American Way,Boonville,IN,47601,(812) 897-4713,2001-02-21,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V39953,American Consolidation & Logistics,12085 NW 42 Ave,Opa-Locka,FL,33054,(305) 769-2112,2009-09-28,"Certification - Export, Identification - Meat, Identification - Poultry",
M44189+P44189+V44189,American Custom Meats LLC,4276 N. Tracy Blvd.,Tracy,CA,95304,(209) 839-8800,2011-09-16,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",
G1105,"American Egg Products, LLC",375 Pierce Industrial Blvd.,Blackshear,GA,31516,(912) 449-5700,1992-02-24,Egg Product,
V31683/P,American Food Export Service,1100 Milik Street,Carteret,NJ,7008,(908) 754-1300,2008-09-03,"Certification - Export, Identification - Meat, Identification - Poultry",
M2829+P2829+V2829,AMERICAN FOOD SERVICE,2991 MEAD AVE.,SANTA CLARA,CA,95051,(408) 986-0588,2003-05-28,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",
M34107+P34107,"American Food Services, LLC",1053 Summers Road,Morganton,NC,28655,(828) 221-3599,2012-07-24,Meat Processing,"Cathead Foods, LLC; Johnson Foods, LLC"
V44736,American Food Supplies LLC,3120 Avenue E.,Arlington,TX,76011,(817) 652-1315,2011-11-10,"Certification - Export, Identification - Meat, Identification - Poultry",
M8452+P8452,American Food Systems Inc.,30 B Street,Burlington,MA,1803,(617) 273-3230,1985-11-25,"Meat Processing, Poultry Processing",
M48226,American Halal Meat,4392 Hwy E,New Haven,MO,63068,(573) 237-9773,2011-09-19,"Meat Processing, Meat Slaughter",
M20403,American Halal Meat Inc.,270 Raymond Blvd,Newark,NJ,7105,(973) 817-8444,2013-10-15,"Meat Processing, Meat Slaughter",Newark Halal Meat
M17439+P17439,American Kitchen Delights Inc.,15320 S. Cooper Ave.,Harvey,IL,60426,(708) 210-3200,2006-04-18,"Meat Processing, Poultry Processing",
M5805A,"American Laboratories, Inc",5036 S 33rd Street,Omaha,NE,68107,(402) 339-2494,2015-12-24,Meat Processing,
M5805,"American Laboratories, Inc.",4410 South 102nd Street,Omaha,NE,68127,(402) 339-2494,2015-12-24,Meat Processing,
V22043,"American Laboratories, Inc.",5036 South 33rd Street,Omaha,NE,68107,(402) 733-8680,2015-12-28,Certification - Export,
M1913+P18057,American Meat Company,5201 Industry Ave.,Pico Rivera,CA,90660,(562) 801-4100,2016-11-07,"Meat Processing, Poultry Processing",American Beef Company; American Cold Storage; American Companies; American Meat Company; Merit-Day Food Service
M2999,"American Meat Processing Co., Inc.",3103 E. Sunshine,Springfield,MO,65804,(417) 881-2892,2015-05-05,Meat Processing,American Meat Processing Co.; Packers Brand; S.G.C. Foodservice
M4933+P4933+G4933,"American Outdoor Products, Inc",6350 Gunpark Drive,Bouder,CO,80301,(303) 447-3383,1997-11-13,"Egg Product, Meat Processing, Poultry Processing","Astronaut Foods; Backpacker's Pantry, Inc.; Colorado Spice"
M32004+P32004,American Pasteurization Co LLC,2880 N. 112th St Bldg E,Milwaukee,WI,53222,(414) 453-7522,2005-01-31,"Meat Processing, Poultry Processing",
M45015+P45015,American Pasteurization Company,2335 Del Monte Street,West Sacramento,CA,95691,(414) 453-7522,2012-11-20,"Meat Processing, Poultry Processing",
I252,American Samoa Government,P.O. Box 4646,Pago Pago,AS,96799,(684) 633-4520,2016-07-06,Imported Product,
M5903+P5903,American Skin Food Group LLC,140 Industril Dr.,Burgaw,NC,28425,(910) 259-2232,2004-04-26,"Meat Processing, Poultry Processing",
M926,"American Soy Products, Inc.",1474 North Woodland Drive,Saline,MI,48176,(734) 429-2310,2011-09-14,Meat Processing,
M40062+P40062,"American Specialty Food, Inc.",5465 Virginia Beach Blvd Unit H,Virginia Beach,VA,23462,(757) 802-1678,2014-11-25,"Meat Processing, Poultry Processing",
I7,Americold,19840 Rancho Way,Compton,CA,90220,(310) 632-6265,2016-05-11,Imported Product,
V17534,Americold,1680 Candler Road,Gainesville,GA,30507,(770) 531-9800,2011-12-13,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Poultry",
V17534B,Americold,215 Industrial Park Rd,Catersville,GA,30121,(770) 382-5115,2011-03-28,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V18986,Americold,502 North Broadway,LaPorte,TX,77571,(281) 867-2613,2011-11-18,"Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V19464,Americold,2006 Industrial Blvd,Douglas,GA,31533,(912) 384-7272,2013-02-11,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V19558,Americold,2130 Old Georgia Hwy,Gaffney,SC,29340,(864) 488-0880,2012-03-05,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V21231,Americold,302 N. Frontage Road,Plant City,FL,33565,(813) 754-9341,2012-03-15,"Certification - Export, Identification - Meat, Identification - Poultry",
V21899,Americold,1610 East Sepulveda Blvd,Carson,CA,90745,(310) 632-6265,2012-07-12,"Certification - Export, Identification - Meat, Identification - Poultry",
V3923,Americold,11850 Center Road,San Antonio,TX,78223,(210) 633-5000,2011-09-16,"Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V45018,Americold,200 Sara Lee Road,Tarboro,NC,27886,(252) 641-1191,2013-01-15,"Certification - Export, Identification - Poultry",
V7435,Americold,1619 Antioch Church Road,Piedmont,SC,29673,(864) 277-7680,2011-09-16,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
M3150+V3150,Americold Corporation,4475 E. 50th Avenue,Denver,CO,80216,(303) 295-0333,2011-05-20,"Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V19996,Americold Corporation,P.O. Box 489 2641 Stephenson Drive,Murfreesboro,TN,37130,(615) 896-4640,1997-08-26,"Certification - Export, Identification - Meat, Identification - Poultry",
I16,Americold Logistics,1610 Sepulveda Boulevard,Carson,CA,90745,(310) 632-6265,2012-05-30,Imported Product,
M17604+P17604,Americold Logistics,4550 Newcomb Avenue,Montgomery,AL,36108,(334) 284-6900,2001-02-15,,
M19338+P19338+V19338,Americold Logistics,203 Industrial Blvd.,Russellville,AR,72801,(479) 967-2900,2012-11-16,"Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
M3318+P3318+V3318,Americold Logistics,2300 E Rice St.,Sioux Falls,SD,57103,(605) 339-4258,1997-05-01,"Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Meat Processing, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry, Poultry Processing","VC Omaha Holdings, LLC"
M3396+P18616+V3396,Americold Logistics,6875 State St.,Bettendorf,IA,52722,(563) 332-4300,2015-03-01,"Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry",
M3478+V3478,Americold Logistics,300 S. El Mira Avenue,Russellville,AR,72802,(479) 968-5322,2002-11-06,"Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V17787,Americold Logistics,19840 Rancho Way,Compton,CA,90220,(310) 632-6265,2012-11-20,"Certification - Export, Identification - Meat, Identification - Poultry",
V18695,Americold Logistics,3609 Genoa Road,Texarkana,AR,71854,(870) 772-0007,2001-05-03,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V18918,Americold Logistics,1355 Railroad Avenue,Albertville,AL,35951,(256) 891-4433,2006-12-19,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V19129,Americold Logistics,5210 Catron Drive,Dallas,TX,75227,(214) 381-2653,2013-04-08,"Certification - Export, Identification - Meat, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V19803,Americold Logistics,121 Roseway Drive,Thomasville,GA,31792,(912) 227-9309,2008-08-25,"Certification - Export, Identification - Meat, Identification - Poultry",
V20344,Americold Logistics,301 S. Walnut,Burlington,WA,98233,(360) 755-0651,1998-04-14,"Identification - Meat, Identification - Poultry",
V21507,Americold Logistics,4095 Portland NE,Salem,OR,97301,(503) 363-1645,2002-02-14,"Identification - Meat, Identification - Poultry",
V3154,Americold Logistics,3543 Maple Drive,Fort Dodge,IA,50501,(515) 955-3505,2004-04-12,"Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
V32087,Americold Logistics,6500 Tradewater Parkway,Atlanta,GA,30336,(404) 460-4700,2007-03-24,"Certification - Export, Identification - Meat, Identification - Poultry",
V3425,Americold Logistics,1200 Old Missouri Rd,Springdale,AR,72764,(479) 756-2044,1990-04-16,"Certification - Export, Identification - Meat, Identification - Poultry",
V34477,Americold Logistics,12520 General Drive,Charlotte,NC,28273,(704) 587-9556,2007-09-21,"Certification - Export, Identification - Meat, Identification - Poultry",
